price,name,sold,img,link
70,Philips Avent Sealing Disc Price per Piece,3 sold,https://down-ph.img.susercontent.com/file/edf0ac316e6f9575690169729b22d751_tn,https://shopee.ph/Philips-Avent-Sealing-Disc-Price-per-Piece-i.67102570.19719891565?sp_atk=d2e75e5a-67d2-433e-aec3-9d913ed9842a&xptdk=d2e75e5a-67d2-433e-aec3-9d913ed9842a
510,"Bath and Body Works Mist, Hibiscus Paradise, 236ml",,https://down-ph.img.susercontent.com/file/cab4e7e1fdf83abb9a5c2f02bc906def_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Hibiscus-Paradise-236ml-i.67102570.18817254964?sp_atk=833e2230-8955-4aa3-a75c-7e3fda3a7a11&xptdk=833e2230-8955-4aa3-a75c-7e3fda3a7a11
499,"Vaseline Lotion, Cocoa Radiant, 20.3oz/600ml",,https://down-ph.img.susercontent.com/file/362f8f81af05014308cfb5fc62e351dc_tn,https://shopee.ph/Vaseline-Lotion-Cocoa-Radiant-20.3oz-600ml-i.67102570.18111483020?sp_atk=56eabfd6-ee85-457e-a1bc-4fcc6a21a050&xptdk=56eabfd6-ee85-457e-a1bc-4fcc6a21a050
499,"Bath and Body Works Mist, Sensual Amber, 236ml",,https://down-ph.img.susercontent.com/file/b1a6268449eaa147e1c3b0867c7b4b82_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Sensual-Amber-236ml-i.67102570.15089025609?sp_atk=59ff2b79-51eb-4b26-b665-fcd294caf336&xptdk=59ff2b79-51eb-4b26-b665-fcd294caf336
499,"Bath and Body Works Mist, Vanilla Coconut, 236ml",,https://down-ph.img.susercontent.com/file/55ca4405d7b75fc18efb3db4229802ff_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Vanilla-Coconut-236ml-i.67102570.21817553773?sp_atk=92b57ac0-97c6-4233-b273-81bd9779b069&xptdk=92b57ac0-97c6-4233-b273-81bd9779b069
499,"Original Bath and Body Works Mist, Mad About You, 236ml",,https://down-ph.img.susercontent.com/file/cd2df080312f6406837ba6444af1162e_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Mad-About-You-236ml-i.67102570.21218482524?sp_atk=0ca2bf40-9096-40f5-9820-5e0662cb24d1&xptdk=0ca2bf40-9096-40f5-9820-5e0662cb24d1
499,"Bath and Body Works Mist, Pink Cashmere, 236ml",,https://down-ph.img.susercontent.com/file/36ca9cda49b5f0706b1ee1668827e6f4_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Pink-Cashmere-236ml-i.67102570.17477716063?sp_atk=5ae64598-3086-4e7c-a676-c8a358125643&xptdk=5ae64598-3086-4e7c-a676-c8a358125643
600,"Bath and Body Works Blueberry Sugar Pancake Fragrance Mist, 236ml",,https://down-ph.img.susercontent.com/file/sg-11134201-22110-ywv5zbgszljvd0_tn,https://shopee.ph/Bath-and-Body-Works-Blueberry-Sugar-Pancake-Fragrance-Mist-236ml-i.67102570.17489289055?sp_atk=ae8b31f1-dafc-43fb-b681-8c3a111b5d92&xptdk=ae8b31f1-dafc-43fb-b681-8c3a111b5d92
450,"Original Bath and Body Works Mist, Golden Sunflower, 236ml",,https://down-ph.img.susercontent.com/file/6fde0f87582bf8d58eaac9999c71375c_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Golden-Sunflower-236ml-i.67102570.19810532453?sp_atk=f06da771-3b93-42f7-b804-167a35370909&xptdk=f06da771-3b93-42f7-b804-167a35370909
510,"Bath and Body Works Champagne Brunch Fragrance Mist, Price Per Piece",,https://down-ph.img.susercontent.com/file/5c98ab8d31b8f3296772f6e2dde6a24d_tn,https://shopee.ph/Bath-and-Body-Works-Champagne-Brunch-Fragrance-Mist-Price-Per-Piece-i.67102570.21618175403?sp_atk=773a655c-7d59-43f6-8b84-1ceb5cd9a7f3&xptdk=773a655c-7d59-43f6-8b84-1ceb5cd9a7f3
485,"Original Bath and Body Works Mist, French Lavender & Honey, 236ml",,https://down-ph.img.susercontent.com/file/f25b3c3fb2e02b10edb370257c627c1e_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-French-Lavender-Honey-236ml-i.67102570.16674164772?sp_atk=d0c5f927-3bb0-4f84-b3e2-b5f9d159bfa1&xptdk=d0c5f927-3bb0-4f84-b3e2-b5f9d159bfa1
"1,500","Cerave SA Lotion for Rough & Bumpy Skin, 237ml",,https://down-ph.img.susercontent.com/file/df01e67d45ff3cafecb3989b56fb4648_tn,https://shopee.ph/Cerave-SA-Lotion-for-Rough-Bumpy-Skin-237ml-i.67102570.19417441448?sp_atk=cbe36292-a6b7-454b-86b7-96ecd1b35fd1&xptdk=cbe36292-a6b7-454b-86b7-96ecd1b35fd1
499,"Bath and Body Works Mist, Brown Sugar & Fig, 236ml",,https://down-ph.img.susercontent.com/file/f19546d0fa35366c5ebb87aebec37ede_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Brown-Sugar-Fig-236ml-i.67102570.11896439272?sp_atk=e4292339-f50a-4203-9a61-8a4f13e18fb6&xptdk=e4292339-f50a-4203-9a61-8a4f13e18fb6
499,"Original Bath and Body Works Mist, Midnight Swim, 236ml",,https://down-ph.img.susercontent.com/file/89f16a4a57e85690cb3dbd53c52f2537_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Midnight-Swim-236ml-i.67102570.21216378441?sp_atk=52c74279-e47c-4739-a280-41f9330e045f&xptdk=52c74279-e47c-4739-a280-41f9330e045f
485,"Bath and Body Works Mist, Fresh Coconut Colada, 236ml",,https://down-ph.img.susercontent.com/file/d5181bd2f4da350557539f8334337a1e_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Fresh-Coconut-Colada-236ml-i.67102570.19217512097?sp_atk=6331f8ad-ffcc-4e62-8ec1-bf9d09394196&xptdk=6331f8ad-ffcc-4e62-8ec1-bf9d09394196
"2,850","Cerave SA Cream for Rough & Bumpy Skin, PRICE PER PIECE",,https://down-ph.img.susercontent.com/file/189d68c0751fe75b30975c35713e969c_tn,https://shopee.ph/Cerave-SA-Cream-for-Rough-Bumpy-Skin-PRICE-PER-PIECE-i.67102570.19017429886?sp_atk=5f93c306-1b91-4168-8041-91585135fa83&xptdk=5f93c306-1b91-4168-8041-91585135fa83
510,"Bath and Body Works Mist, Honeysuckle & Peach Spritz , 236ml",,https://down-ph.img.susercontent.com/file/eb9b6d0e86ed86be07c66c63a3b118a2_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Honeysuckle-Peach-Spritz-236ml-i.67102570.15489166925?sp_atk=e93fc0b1-c3ca-4f07-aaf9-684b25b5e49d&xptdk=e93fc0b1-c3ca-4f07-aaf9-684b25b5e49d
499,"Bath and Body Works Mist, Twilight Woods, 236ml",,https://down-ph.img.susercontent.com/file/80cc2844c19aef83ad8c443738ab1dcf_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Twilight-Woods-236ml-i.67102570.18517993458?sp_atk=69eb4426-6358-4455-89f4-a4e56b6a8364&xptdk=69eb4426-6358-4455-89f4-a4e56b6a8364
460,"Dickinson's Original With Hazel, Pore Perfecting Toner, 473ml/16oz",,https://down-ph.img.susercontent.com/file/fb082983248685b76b839842534e7de6_tn,https://shopee.ph/Dickinson's-Original-With-Hazel-Pore-Perfecting-Toner-473ml-16oz-i.67102570.21718453391?sp_atk=e7e371c9-cee8-412d-98a8-ef2718f8bc85&xptdk=e7e371c9-cee8-412d-98a8-ef2718f8bc85
785,"Cetaphil Deep Cleansing Bar, Value Pack of 3, 127g per bar",,https://down-ph.img.susercontent.com/file/7fe58adb76465fb950c510f2389051bd_tn,https://shopee.ph/Cetaphil-Deep-Cleansing-Bar-Value-Pack-of-3-127g-per-bar-i.67102570.19012129865?sp_atk=b1df3c2f-e0a3-4026-96c8-06d75402658b&xptdk=b1df3c2f-e0a3-4026-96c8-06d75402658b
800,"Vanicream Gentle Facial Cleanser, 237ml",,https://down-ph.img.susercontent.com/file/4676c12c48330d498a6d6083cbc9b5d8_tn,https://shopee.ph/Vanicream-Gentle-Facial-Cleanser-237ml-i.67102570.14888953767?sp_atk=484e71da-6d83-43d0-bce6-bcd0a47abb12&xptdk=484e71da-6d83-43d0-bce6-bcd0a47abb12
450,"Traditional Medicinals Organic Mother's Milk, 16 Tea Bags",,https://down-ph.img.susercontent.com/file/0c77bcc51f983dd471c8821936fda672_tn,https://shopee.ph/Traditional-Medicinals-Organic-Mother's-Milk-16-Tea-Bags-i.67102570.18818963394?sp_atk=eaab3e31-d6a0-47f0-a0e7-469a78e71378&xptdk=eaab3e31-d6a0-47f0-a0e7-469a78e71378
"1,500",Aveeno Baby Eczema Therapy Nighttime Balm 11oz / 312g,,https://down-ph.img.susercontent.com/file/dc4d4f0d412a3c359359de319fd4a786_tn,https://shopee.ph/Aveeno-Baby-Eczema-Therapy-Nighttime-Balm-11oz-312g-i.67102570.20110522902?sp_atk=9c29b2d8-5367-4dff-aab8-37e464eab87a&xptdk=9c29b2d8-5367-4dff-aab8-37e464eab87a
650,"OGX Biotin & Collagen Shampoo OR Conditioner, 385ml, PRICE PER PIECE",,https://down-ph.img.susercontent.com/file/5dd94340573ef965296996d2e6ee9be3_tn,https://shopee.ph/OGX-Biotin-Collagen-Shampoo-OR-Conditioner-385ml-PRICE-PER-PIECE-i.67102570.13594718809?sp_atk=619b4dc2-9df4-477e-9825-f835da4e6190&xptdk=619b4dc2-9df4-477e-9825-f835da4e6190
569,"Band-Aid Hydro Seal ALL PURPOSE Adhesive Bandages, 10pcs per box",,https://down-ph.img.susercontent.com/file/4badf3d000f1fe95eb57829e1946bf47_tn,https://shopee.ph/Band-Aid-Hydro-Seal-ALL-PURPOSE-Adhesive-Bandages-10pcs-per-box-i.67102570.19716431562?sp_atk=2c859a7c-5fb4-4449-8e15-0a65e592d915&xptdk=2c859a7c-5fb4-4449-8e15-0a65e592d915
